Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
unpack	verb	/ʌnˈpæk/	1. mở, tháo dỡ (hành lý, hàng hoá) 2. phân tích, giải thích	unload, empty, analyse	pack, load	unpack (v); unpacked (adj); unpacking (n); pack (v,n)	She unpacked her suitcase at the hotel.	unpack luggage, unpack a suitcase, unpack boxes, time to unpack
verify	verb	/ˈver.ɪ.faɪ/	1. xác minh, kiểm chứng 2. chứng thực	validate, confirm, check	invalidate, ignore, neglect	verify (v); verification (n); verifiable (adj); verifier (n)	Please verify your account information.	verify information, verify identity, verify documents, verify accuracy
component	noun	/kəmˈpəʊ.nənt/	1. bộ phận, thành phần 2. phần cấu thành	part, element, module	whole, entirety	component (n,adj); compose (v); composition (n); composite (adj,n)	The new printer has several upgraded components.	key component, electronic component, software component, component of
include	verb	/ɪnˈkluːd/	1. bao gồm, gồm có 2. đưa vào, tính đến	contain, incorporate, consist of	exclude, omit, leave out	include (v); inclusion (n); inclusive (adj); inclusively (adv)	The tour price includes hotel and meals.	include in, include information, price includes, including tax
place	noun/verb	/pleɪs/	1. địa điểm 2. vị trí, chỗ ngồi 3. đặt, để (v) 4. sắp xếp (v)	location, position, put, set	absence, remove	placement (n): sự bố trí replace (v): thay thế replaceable (adj): có thể thay thế	- Please take your place by the door. - She placed the files on the desk. - The meeting will take place at 10 a.m.	- in the right place - reserve a place - place an order - place emphasis on
avoid	verb	/əˈvɔɪd/	1. tránh 2. ngăn ngừa	evade, dodge, prevent	face, confront	avoidance (n): sự tránh avoidable (adj): có thể tránh unavoidable (adj): không thể tránh	- Drivers should avoid heavy traffic in the morning. - We avoided a loss by cutting costs.	- avoid doing sth - avoid conflict - avoid mistakes - avoid delays
loss	noun	/lɒs/	1. sự mất mát 2. khoản lỗ 3. tổn thất	deficit, setback	profit, gain	lose (v): mất loser (n): người thua lost (adj): bị mất	- The company reported a net loss last quarter. - Insurance reduced the financial loss after the storm.	- at a loss - make a loss - loss of revenue - prevent loss
damage	noun/verb	/ˈdæm.ɪdʒ/	1. (n) thiệt hại 2. (v) làm hỏng 3. (n) tiền bồi thường	harm, injury, impairment	repair, benefit	damaged (adj): bị hư hỏng undamaged (adj): không hư hỏng damaging (adj): gây hại	- The shipment was damaged during transit. - Water damage forced the hotel to close two rooms.	- cause damage - suffer damage - minor/serious damage - assess damage
assemble	verb	/əˈsem.bəl/	1. tập hợp 2. lắp ráp	gather, collect, build	disperse, disassemble	assembly (n): sự lắp ráp assembler (n): người lắp ráp disassembly (n): sự tháo rời	- The manager assembled the team for a briefing. - The parts are assembled on site.	- assemble a team - assemble parts - assemble equipment - fully assembled
soft	adjective	/sɒft/	1. mềm, êm 2. dịu (âm thanh/ánh sáng) 3. nhẹ nhàng (thái độ)	gentle, smooth	hard, firm	soften (v): làm mềm softly (adv): nhẹ nhàng softness (n): sự mềm	The pillow feels soft. - Please speak in a soft voice during the meeting.	soft lighting, soft voice, soft material, soft drink
surface	noun	/ˈsɜː.fɪs/	1. bề mặt 2. vẻ bề ngoài	top, exterior	interior, inside	surface (v): nổi lên surfaced (adj): được làm mới resurfacing (n): tái tạo bề mặt	Wipe the surface of the table before the clients arrive. - Oil floated on the surface of the water.	surface area, smooth surface, surface temperature, clean surface
flattened	adjective	/ˈflæt.ənd/	1. được làm phẳng 2. dẹp, xẹp	level, even	raised, uneven	flatten (v): san phẳng flat (adj): phẳng flatness (n): độ phẳng	The cartons were flattened for recycling. - The site was flattened before construction began.	flattened boxes, flattened surface, be flattened by, flattened cardboard
empty	adjective	/ˈemp.ti/	1. trống, không có gì 2. vắng vẻ	vacant, void	full, occupied	empty (v): làm trống emptiness (n): sự trống trải empty-handed (adj): tay không	The warehouse is empty after the shipment. - Please empty the trash can every evening.	empty room, empty seat, empty bottle, empty space
main	adjective	/meɪn/	1. chính, chủ yếu	primary, principal	minor, secondary	mainly (adv): chủ yếu mainstay (n): trụ cột	The main entrance is at the front of the building. - Cost is our main concern in this project.	main office, main reason, main road, main course
side	noun	/saɪd/	1. mặt, bên của một vật 2. sườn, lề 3. phe, phía trong tranh luận	flank, aspect, surface	center, middle	side (v): đứng về phe | sideways (adv): hướng bên | sideline (n): việc phụ | sided (adj): có mặt	Please place the label on the right side of the box. - The two teams are on opposite sides of the issue.	on the side of, right/left side, opposite side, take sides
overtighten	verb	/ˌoʊ.vərˈtaɪ.tən/	siết quá chặt (ốc, vít)	overtension, tighten excessively	loosen, slacken	tighten (v): siết chặt | tight (adj): chặt | tightening (n): sự siết chặt | overtightened (adj): bị siết quá mức	Do not overtighten the bolts when installing the shelf.	overtighten a screw, overtighten a bolt, overtighten the lid, avoid overtightening
bolt	noun	/boʊlt/	1. bu lông, ốc vít 2. then cửa, chốt	fastener, pin, screw	loosen, unfasten	bolt (v): cài then, gắn bu lông | bolted (adj): được gắn bu lông | bolting (n): sự gắn bu lông	Insert the bolt and tighten it with a wrench.	tighten a bolt, loosen a bolt, bolt and nut, secure with a bolt
cushioning	noun	/ˈkʊʃ.ən.ɪŋ/	1. lớp đệm giảm chấn 2. hành động đệm để bảo vệ	padding, buffer, protection	impact, pressure	cushion (n): gối đệm | cushion (v): đệm, giảm chấn | cushioned (adj): có đệm | cushiony (adj): mềm	The cushioning inside the package prevents damage in transit.	foam cushioning, provide cushioning, extra cushioning, cushioning material
obtain	verb	/əbˈteɪn/	1. thu được 2. đạt được	get, acquire, secure	lose, forfeit	obtainable (adj): có thể đạt được | obtainment (n): sự đạt được | unobtainable (adj): không thể đạt được	You must obtain management approval before placing the order.	obtain permission, obtain approval, obtain information, obtain a license
maintenance	noun	/ˈmeɪn.tən.əns/	1. hoạt động bảo trì, sửa chữa định kỳ 2. chi phí duy trì vận hành	upkeep, servicing	neglect, disrepair	maintain (v): bảo trì maintainer (n): người bảo trì maintenance-free (adj): không cần bảo trì	The elevator is shut down for routine maintenance.	routine maintenance; preventive maintenance; maintenance cost; maintenance crew
tip	noun	/tɪp/	1. tiền boa 2. mẹo, lời khuyên ngắn	gratuity, hint	penalty, misinformation	tip (v): boa tiền tipper (n): người boa untipped (adj): không được boa	Here is a useful tip for saving paper.	leave a tip; helpful tip; tipping policy; practical tip
coverage	noun	/ˈkʌv.ər.ɪdʒ/	việc đưa tin, phạm vi bảo hiểm, sự bao phủ	reporting, insurance, protection	ignorance, omission	cover (v): bao phủ; covered (adj): được bao phủ	The TV coverage of the event was excellent.	media coverage, insurance coverage, coverage area
discuss	verb	/dɪˈskʌs/	1. thảo luận, bàn luận	talk about, debate	ignore, avoid	discussion (n): cuộc thảo luận discussant (n): người thảo luận discussed (adj): đã bàn	The managers will discuss the new schedule tomorrow.	discuss a matter; discuss plans; discuss with sb; further discuss
household appliance	noun	/ˈhaʊs.həʊld əˈplaɪ.əns/	thiết bị gia dụng	domestic device, home appliance	industrial equipment, machinery	household (n,adj): hộ gia đình appliance (n): thiết bị applicable (adj): có thể áp dụng	The warranty covers most major household appliances.	major household appliance; small household appliance; buy a household appliance; household appliance store
power tool	noun	/ˈpaʊər tuːl/	1. dụng cụ điện cầm tay 2. thiết bị chạy bằng động cơ hỗ trợ xây dựng/sửa chữa	electric tool, motorized tool	hand tool	power-driven (adj): chạy bằng điện; tooling (n): bộ dụng cụ	Employees must wear gloves when operating a power tool.	operate a power tool, power tool safety, power tool manufacturer
staff	noun/verb	/stæf/	1. đội ngũ nhân viên 2. cung cấp nhân sự	employees, personnel	vacancy, unemployment	staffing (n): việc bố trí nhân sự; staffed (adj): có nhân viên; staffer (n): nhân viên	The new hotel employs over 200 staff.	full-time staff; recruit staff; staff meeting; staff turnover
quick	adj	/kwɪk/	nhanh chóng, tức thời	rapid, fast	slow	quickly (adv): nhanh chóng quickness (n): sự nhanh chóng quicken (v): tăng tốc	The manager gave a quick update before the meeting.	quick response, quick decision, quick look, quick test
reference	noun	/ˈref.ər.əns/	1. sự tham khảo 2. thư giới thiệu 3. sự nhắc đến	citation, recommendation, mention	disregard, omission	refer (v): tham khảo; referee (n): người giới thiệu; referential (adj): có liên quan; referencing (n): việc trích dẫn	Please attach two letters of reference to your application.	reference number, reference letter, for future reference, reference material
tool	noun	/tuːl/	1. công cụ, dụng cụ 2. phương tiện hỗ trợ	instrument, implement, device	obstacle, hindrance	tooling (n): bộ dụng cụ; toolkit (n): bộ công cụ; toolmaker (n): thợ làm dụng cụ; tool (v): gia công	Spreadsheet software is a useful tool for budgeting.	useful tool, software tool, hand tool, analytical tool
interoffice	adjective	/ˌɪn.təˈrɒf.ɪs/	1. nội bộ (giữa các bộ phận trong cùng công ty)	internal, in-house	external, outside	office (n): văn phòng; officer (n): nhân viên; official (adj): chính thức; officemate (n): đồng nghiệp	Please send the report via interoffice mail.	- interoffice mail - interoffice memo - interoffice envelope - interoffice communication
underlined	adjective	/ˈʌn.də.laɪnd/	1. được gạch chân 2. được nhấn mạnh	emphasized, highlighted	ignored, unmarked	underline (v): gạch chân; underlining (n): sự gạch chân; lined (adj): có kẻ dòng	Key dates are underlined in red.	- underlined text - underlined word - section underlined - be heavily underlined
suggest	verb	/səɡˈdʒest/	1. gợi ý 2. đề xuất 3. khuyên	propose, recommend	oppose, discourage	suggestion (n): sự gợi ý; suggestive (adj): gợi ý; suggester (n): người đề xuất	I suggest that we start the meeting at ten.	- suggest doing sth - suggest that + clause - strongly suggest - politely suggest
firm	noun	/fɜːrm/	1. công ty 2. doanh nghiệp	company, enterprise	client, customer	firm (adj): chắc chắn; firmly (adv): chắc chắn; firmness (n): sự kiên quyết	The law firm moved to a larger office downtown.	- accounting firm - law firm - firm policy - medium-sized firm
zone	noun	/zoʊn/	1. khu vực 2. vùng quy hoạch	area, region	whole, entirety	zonal (adj): thuộc vùng; zoning (n): quy hoạch; rezone (v): phân khu lại	The warehouse is located in the industrial zone.	- industrial zone - danger zone - parking zone - quiet zone
administrative	adj	/ədˈmɪn.ɪ.strə.tɪv/	1. thuộc về hành chính 2. liên quan đến quản trị tổ chức	managerial, executive	operational, technical	administration (n): sự quản trị administrator (n): người quản trị administer (v): quản lý administratively (adv): về mặt hành chính	- She handles all administrative tasks in the office. - The administrative staff will process your request.	administrative work, administrative staff, administrative costs, administrative procedures
indicate	verb	/ˈɪn.dɪ.keɪt/	1. chỉ ra, biểu thị 2. cho biết, ra hiệu	show, point out, signal	conceal, hide	indication (n): dấu hiệu indicator (n): chỉ số indicative (adj): cho thấy indicatively (adv): một cách biểu thị	- Figures indicate a rise in sales. - The light indicates that the machine is on.	indicate that, clearly indicate, indicate an increase, indicate willingness
add	verb	/æd/	1. thêm vào 2. cộng vào 3. nói thêm	include, attach, increase	remove, subtract	addition (n): sự thêm vào additional (adj): bổ sung additionally (adv): thêm vào đó	- Please add your signature at the bottom. - We will add 10% to the total cost.	add to, add up, add value, add information
set on	phrasal verb	/set ɒn/	1. quyết tâm làm điều gì đó (be set on) 2. đặt lên	bent on, intent on	undecided, hesitant	set (v/n): đặt, bộ setting (n): bối cảnh setup (n): sự thiết lập reset (v): thiết lập lại	- The team is set on finishing the project early. - She set the tray on the table.	be set on doing, set on the table, set on achieving, set on goals
expansive	adj	/ɪkˈspæn.sɪv/	1. rộng lớn, bao quát 2. có xu hướng mở rộng	extensive, broad, wide	limited, narrow	expansion (n): sự mở rộng expand (v): mở rộng expanded (adj): được mở rộng expansively (adv): một cách cởi mở	- The company has an expansive distribution network. - We enjoyed the expansive view from the hotel.	expansive view, expansive growth, expansive network, expansive policy
sweep	verb/noun	/swiːp/	1. (v) quét sạch 2. (v) lướt qua 3. (n) hành động quét 4. (n) phạm vi, tầm rộng	brush, clear, clean	litter, scatter	sweeping (adj): bao quát; sweeper (n): người quét; sweep (n): sự quét	The janitor will sweep the hallway every morning.	sweep the floor; sweep up debris; street sweeper; sweeping change
adjacent	adjective	/əˈdʒeɪ.sənt/	1. gần kề 2. kế tiếp	neighboring, nearby, adjoining	distant, remote, far	adjacency (n): sự liền kề; adjacently (adv): một cách liền kề	The conference room is adjacent to the lobby.	adjacent to; adjacent room; adjacent building; adjacent property
botanical	adjective	/bəˈtæn.ɪ.kəl/	1. thuộc thực vật học 2. làm từ thảo mộc	plant-based, herbal	synthetic, artificial	botany (n): thực vật học; botanist (n): nhà thực vật học; botanically (adv): về mặt thực vật	The hotel garden features many botanical species.	botanical garden; botanical research; botanical extract; botanical illustration
renovation	noun	/ˌren.əˈveɪ.ʃən/	1. sự nâng cấp 2. việc sửa chữa công trình	restoration, refurbishment	deterioration, damage	renovate (v): cải tạo; renovated (adj): được sửa mới; renovator (n): người cải tạo	The office will close during the lobby renovation.	under renovation; renovation project; complete a renovation; renovation plan
ideal	adjective/noun	/aɪˈdɪəl/	1. (adj) lý tưởng 2. (n) mẫu hình lý tưởng	perfect, optimal, model	imperfect, flawed, faulty	ideally (adv): một cách lý tưởng; idealism (n): chủ nghĩa lý tưởng; idealist (n): người theo CN lý tưởng; idealistic (adj): mang tính lý tưởng	This venue is ideal for large conferences.	ideal for; an ideal solution; the ideal candidate; ideal conditions
wedding reception	noun phrase	/ˈwed.ɪŋ rɪˈsep.ʃən/	1. tiệc chiêu đãi sau lễ cưới	marriage reception, wedding banquet	funeral, wake	wedding (n): lễ cưới wed (v): kết hôn newlywed (n): người mới cưới reception (n): sự tiếp đón receptionist (n): nhân viên lễ tân	The wedding reception will be held at the Grand Hotel ballroom.	hold/host a wedding reception, attend a wedding reception, wedding reception venue, wedding reception menu
panel presentation	noun phrase	/ˈpæn.əl ˌprez.ənˈteɪ.ʃən/	1. bài thuyết trình nhóm chuyên gia 2. phần trình bày dạng tọa đàm	panel discussion, group presentation	individual presentation, keynote speech	panel (n): nhóm chuyên gia panelist (n): thành viên hội đồng presentation (n): bài thuyết trình presenter (n): người thuyết trình present (v): trình bày	The marketing team gave a panel presentation on digital trends.	give/deliver a panel presentation, attend a panel presentation, panel presentation on sth, expert panel presentation
marble	noun	/ˈmɑːr.bəl/	1. đá cẩm thạch 2. vật bằng đá cẩm thạch	stone, granite	wood, concrete	marble (adj): bằng đá cẩm thạch marbled (adj): có vân cẩm thạch marbleize (v): tạo vân marbleization (n): sự tạo vân	The lobby floor is made of polished marble.	polished marble, marble floor, marble statue, white marble
cathedral	noun	/kəˈθiː.drəl/	1. nhà thờ lớn, thánh đường	church, basilica	mosque, temple	cathedral (adj): thuộc nhà thờ lớn cathedra (n): ngai giám mục	The tour includes a visit to the city's famous cathedral.	Gothic cathedral, visit a cathedral, cathedral tour, cathedral ceiling
ceiling	noun	/ˈsiː.lɪŋ/	1. trần nhà 2. mức trần (giới hạn tối đa)	roof (nghĩa 1), upper limit (nghĩa 2)	floor, base	ceilinged (adj): có trần ceilingless (adj): không có trần	The painter is repairing the ceiling in the conference room.	high ceiling, ceiling fan, ceiling light, ceiling tiles
stunning	adj	/ˈstʌn.ɪŋ/	extremely impressive, attractive, or surprising	impressive, breathtaking, spectacular	ordinary, dull, unimpressive	stun (v): làm choáng stunned (adj): choáng váng stunningly (adv): cực kỳ ấn tượng	- The hotel offers a stunning view of the bay.	stunning view, absolutely stunning, stunning performance, look stunning
artwork	noun	/ˈɑːt.wɜːk/	a work of art or illustrations, especially for display or publication	piece, illustration, masterpiece	scribble, mess	art (n): nghệ thuật artist (n): nghệ sĩ artistic (adj): thuộc nghệ thuật	- The lobby displays original artwork by local painters.	original artwork, display artwork, commission artwork, artwork reproduction
gathering	noun	/ˈɡæð.ər.ɪŋ/	a meeting or assembly of people	forum, meeting, assembly	dispersion, separation	gather (v): thu thập gathered (adj): được tập hợp reassemble (v): tập hợp lại	- The company held a staff gathering after the training.	social gathering, family gathering, staff gathering, small gathering
on - site	adj/adv	/ˌɒnˈsaɪt/	occurring or located at the place of business or event	in-house, local	off-site, remote	site (n): địa điểm off-site (adj): ngoài hiện trường siting (n): việc đặt vị trí	- The technician will provide on-site support tomorrow.	on-site parking, on-site training, on-site inspection, stay on-site
cater	verb	/ˈkeɪ.tər/	to provide food, drink, and services for an event; to supply what is needed	serve, supply, provide	neglect, ignore	caterer (n): người cung cấp thực phẩm catering (n): dịch vụ ăn uống catered (adj): được phục vụ ăn uống	- The hotel can cater lunch for 200 guests.	cater for, cater to, catering service, cater event
operate	verb	/ˈɒp.ə.reɪt/	1. vận hành (máy móc, hệ thống) 2. hoạt động (công ty, dịch vụ) 3. thực hiện phẫu thuật	run, function, manage	shut down, halt	operation (n): sự vận hành operator (n): người vận hành operational (adj): thuộc vận hành operative (n/adj): nhân viên vận hành	Our trains operate on a strict schedule.	operate a machine; operate efficiently; operate 24 hours; operate on a patient
farm - to - table	adjective	/ˌfɑːrm tə ˈteɪ.bəl/	1. (đồ ăn) từ nông trại đến bàn ăn, không qua trung gian 2. nhấn mạnh nguồn gốc địa phương	locally sourced, fresh	mass-produced, processed	farm-to-table (n): mô hình farm-to-table dining	Our café serves farm-to-table breakfast.	farm-to-table restaurant; farm-to-table menu; farm-to-table movement; farm-to-table ingredients
head	noun	/hed/	1. người đứng đầu, lãnh đạo 2. phần trên cùng; đầu	chief, leader, director	subordinate, follower	heading (n): tiêu đề headship (n): chức trưởng headless (adj): không đầu headquarters (n): trụ sở chính	Mr. Kim is the head of marketing.	head of department; department head; head office; head count
dietary	adjective	/ˈdaɪ.ə.ter.i/	1. thuộc chế độ ăn uống 2. liên quan dinh dưỡng	nutritional, alimentary	non-dietary, unrelated	diet (n/v): chế độ ăn dietitian (n): chuyên gia dinh dưỡng dieter (n): người ăn kiêng	Please list any dietary needs on the form.	dietary requirement; dietary guideline; dietary supplement; dietary habit
need	noun	/niːd/	1. nhu cầu, sự cần thiết 2. tình trạng thiếu thốn	necessity, requirement	surplus, abundance	needed (adj): cần thiết needless (adj): không cần thiết needy (adj): nghèo túng	There is a need for more staff during peak season.	meet a need; address the need; basic needs; customer needs
revolution	noun	/ˌrev.əˈluː.ʃən/	1. cuộc cách mạng (chính trị) 2. sự thay đổi lớn, toàn diện 3. vòng quay	upheaval, transformation	stability, stagnation	revolutionary (adj): cách mạng; revolutionize (v): cách mạng hóa; revolutionist (n): nhà cách mạng	The digital revolution changed global trade.	industrial revolution; digital revolution; lead a revolution; technological revolution
scene	noun	/siːn/	1. hiện trường, nơi xảy ra sự việc 2. cảnh trong phim/kịch 3. lĩnh vực hoạt động	setting, site	offstage, backstage	scenic (adj): đẹp như tranh; scenery (n): phong cảnh; scenario (n): kịch bản	Police arrived at the scene within minutes.	at the scene; crime scene; leave the scene; scene of the accident
resident	noun	/ˈrez.ɪ.dənt/	1. cư dân 2. bác sĩ nội trú	inhabitant, occupant	visitor, nonresident	reside (v): cư trú; residence (n): nơi cư trú; residential (adj): thuộc khu dân cư	City residents complained about the noise.	local resident; permanent resident; city resident; resident card
president	noun	/ˈprez.ɪ.dənt/	1. tổng thống 2. chủ tịch, giám đốc 3. chủ tọa cuộc họp	chief, head, chairperson	subordinate, member	presidential (adj): thuộc tổng thống; presidency (n): nhiệm kỳ tổng thống; vice-president (n): phó chủ tịch	The president will announce the new policy.	company president; elected president; vice president; serve as president
in advance	adverb phrase	/ɪn ədˈvɑːns/	trước, sớm hơn dự định	beforehand, ahead of time	afterwards, late	advance (n): sự tiến bộ; advance (v): tiến lên; advanced (adj): tiên tiến; advancement (n): sự thăng tiến	Please confirm your reservation in advance.	pay in advance; book in advance; plan in advance; order in advance
seat	noun	/siːt/	ghế ngồi, chỗ ngồi	chair, place	stand	seating (n): chỗ ngồi; seated (adj): được ngồi	Please take your seat.	reserved seat, window seat, take a seat
reserve	verb	/rɪˈzɜːv/	đặt trước, dự trữ	book, save	release, cancel	reservation (n): sự đặt trước; reserved (adj): đã đặt trước	I would like to reserve a table for two.	reserve a seat, reserve a room, reserve in advance
space	noun	/speɪs/	không gian, chỗ trống	room, area	crowd, blockage	spacious (adj): rộng rãi; spacing (n): khoảng cách	There is not enough space in the car.	parking space, storage space, free space
solely	adverb	/ˈsəʊl.li/	chỉ, duy nhất	only, exclusively	together, jointly	sole (adj): duy nhất	This room is solely for staff.	solely responsible, solely owned, solely by
corporate	adjective	/ˈkɔː.pər.ət/	thuộc về công ty, doanh nghiệp	company, business	individual, personal	corporation (n): tập đoàn; corporate (adj): thuộc về doanh nghiệp	Corporate culture is important in big firms.	corporate office, corporate policy, corporate event
international	adj	/ˌɪn.təˈnæʃ.nəl/	1. thuộc về quốc tế 2. liên quan đến nhiều quốc gia	global, worldwide	domestic, local	internationalize (v): quốc tế hoá; internationalization (n): sự quốc tế hoá; internationally (adv): một cách quốc tế	The company opened an international office in Singapore.	international market, international trade, international conference, international flight
fund	noun/verb	/fʌnd/	1. (n) quỹ tài chính 2. (v) cấp vốn, tài trợ	capital, finance	withdrawal, debt	funding (n): kinh phí; fundraiser (n): người gây quỹ; refundable (adj): có thể hoàn tiền	The project was funded by a government fund.	raise a fund, investment fund, fund manager, fund a project
charity	noun	/ˈtʃær.ə.ti/	1. tổ chức từ thiện 2. việc làm từ thiện	nonprofit, aid organization	greed, self-interest	charitable (adj): từ thiện; charitably (adv): một cách từ thiện; charitableness (n): lòng từ thiện	The company donated $5,000 to a local charity.	charity event, charity organization, give to charity, charity work
popular	adj	/ˈpɒp.jə.lər/	1. phổ biến 2. được ưa chuộng	well-liked, favored	unpopular, obscure	popularity (n): sự phổ biến; popularize (v): làm cho phổ biến; popularization (n): sự đại chúng hoá	The new smartphone is very popular among young workers.	popular choice, popular product, become popular, highly popular
almost	adv	/ˈɔːl.moʊst/	1. gần như 2. hầu như	nearly, practically	completely, exactly	—	The report is almost finished.	almost all, almost always, almost impossible, almost every
finish	verb	/ˈfɪn.ɪʃ/	1. hoàn thành 2. kết thúc	complete, conclude	start, begin	finished (adj): đã hoàn thành; unfinished (adj): chưa xong; finisher (n): người hoàn thành; finishing (n): công đoạn hoàn thiện	- We will finish the report by 5 p.m. - The meeting finished early.	- finish a project - finish the report - finish on time - finish up
measure	verb/noun	/ˈmeʒ.ər/	1. (v) đo lường 2. (v) đánh giá 3. (n) biện pháp/tiêu chí	assess, gauge	guess, ignore	measurement (n): sự đo lường; measurable (adj): có thể đo được; immeasurable (adj): không thể đo; measuring (adj): để đo	- Please measure the room before buying furniture. - Sales growth is one measure of success.	- measure performance - measure progress - take accurate measures - security measures
afraid	adj	/əˈfreɪd/	1. sợ 2. e rằng/lo rằng	scared, frightened	confident, unafraid	fear (n/v): sợ hãi; fearful (adj): đáng sợ; fearlessly (adv): gan dạ	- I’m afraid the report is not ready yet. - She is afraid of flying.	- be afraid of sth - afraid to do sth - I’m afraid that ...
problem	noun	/ˈprɒb.ləm/	1. vấn đề 2. điều khó khăn	issue, difficulty	solution, answer	problematic (adj): nan giải; problem-free (adj): không có vấn đề; problem-solving (n): giải quyết vấn đề	- The software problem was fixed this morning. - We have a staffing problem in the warehouse.	- solve a problem - face a problem - problem with sth - technical problem
coordinate	verb	/koʊˈɔːr.dən.eɪt/	1. điều phối/sắp xếp 2. phối hợp	organize, arrange	confuse, disorder	coordination (n): sự phối hợp; coordinator (n): điều phối viên; coordinated (adj): có tổ chức; uncoordinated (adj): thiếu phối hợp	- She will coordinate the event with the catering team. - Departments must coordinate their schedules.	- coordinate with sb - coordinate activities - coordinate efforts - coordinate logistics
bring	verb	/brɪŋ/	1. mang, đem 2. dẫn đến 3. đưa ra (trong cuộc họp/tòa án)	carry, deliver	take away, remove	bringing (n): sự mang tới brought (v-ed): đã mang bringer (n): người mang	- Please bring your ID to the reception desk. - The new policy will bring more jobs to the city.	bring about, bring up, bring in revenue, bring with you
sure	adjective	/ʃʊr/	1. chắc chắn 2. đảm bảo	certain, confident	unsure, doubtful	surely (adv): chắc chắn assurance (n): sự đảm bảo ensure (v): đảm bảo	- I am sure the meeting will finish on time. - Make sure all lights are off before you leave.	be sure to, make sure, feel sure, quite sure
mean	verb	/miːn/	1. có nghĩa là 2. dự định 3. gây ra	signify, intend	ignore, overlook	meaning (n): ý nghĩa meaningful (adj): có ý nghĩa meaningless (adj): vô nghĩa mean (adj): keo kiệt	- What does this symbol mean? - I didn’t mean to interrupt you.	mean to do, mean that, what it means, exactly mean
correct	adjective	/kəˈrekt/	1. đúng, chính xác 2. phù hợp, lịch sự	accurate, right	incorrect, wrong, inaccurate	correct (v): sửa correction (n): sự sửa correctness (n): tính đúng corrective (adj): mang tính sửa chữa	- Your calculation is correct. - Please correct the figures before printing.	correct answer, correct information, correct procedure, correct mistake
excellent	adjective	/ˈek.səl.ənt/	1. xuất sắc, ưu tú	outstanding, superb	poor, inferior, mediocre	excellence (n): sự xuất sắc excellently (adv): một cách xuất sắc	- The hotel offers excellent service. - He did an excellent job on the report.	excellent service, excellent performance, excellent quality, excellent idea
yeild	verb / noun	/jiːld/	1. sản xuất, tạo ra (v) 2. lợi nhuận, sản lượng (n) 3. nhường nhịn, nhường đường (v)	produce, generate, return	resist, retain, loss	yielding (adj): dễ uốn; yielder (n): người mang lại lợi nhuận	Our new machines yield higher output with less energy.	yield results, yield profits, crop yield, high yield
substantial	adj	/səbˈstæn.ʃəl/	1. đáng kể 2. lớn, vững chắc	considerable, significant	minor, insignificant	substantially (adv): đáng kể; substance (n): vật chất; substantive (adj): trọng yếu	The report shows a substantial reduction in costs.	substantial amount, substantial growth, substantial evidence, substantial cost
grow	verb	/ɡroʊ/	1. tăng trưởng, phát triển 2. trồng (cây) 3. trở nên	expand, increase	shrink, decline	growth (n): sự tăng trưởng; growing (adj): đang phát triển; grown (adj): trưởng thành	Exports to Asia continue to grow steadily.	grow rapidly, grow steadily, grow crops, grow market share
surplus	noun / adj	/ˈsɜːr.pləs/	1. số dư, thặng dư (n) 2. dư thừa (adj)	excess, extra	deficit, shortage	surplusage (n): phần dư thừa	The budget surplus will be reinvested in equipment.	budget surplus, trade surplus, surplus inventory, surplus goods
produce	verb / noun	/prəˈduːs/	1. sản xuất 2. trình ra (tài liệu) 3. nông sản (n)	manufacture, create	consume, destroy	product (n); production (n); producer (n); productive (adj); productivity (n)	The factory can produce parts on demand.	produce goods, produce documents, mass produce, agricultural produce
community	noun	/kəˈmjuː.nə.ti/	1. cộng đồng (nhóm người sống chung hoặc có chung lợi ích) 2. khu dân cư	society, public	individual, isolation	communal (adj): thuộc cộng đồng community-based (adj): dựa vào cộng đồng community member (n): thành viên cộng đồng	Our company donates computers to the local community.	local community, community service, community center, community support
organise	verb	/ˈɔːr.ɡə.naɪz/	1. sắp xếp, tổ chức 2. điều phối người hoặc sự kiện	arrange, coordinate	disorganize, disrupt	organisation (n): sự tổ chức organizer (n): người tổ chức organized (adj): có tổ chức organizational (adj): thuộc tổ chức	They will organise a training session for new staff.	organise a meeting, organise an event, organise files, organise staff
drop - off	noun	/ˈdrɒp ˌɒf/	1. điểm trả khách/hàng 2. sự sụt giảm	delivery point, decrease	pickup, increase	drop off (v): trả ai/cái gì drop-off (adj): dùng để trả hàng	The taxi driver stopped at the hotel drop-off zone.	drop-off point, drop-off service, luggage drop-off, sharp drop-off
location	noun	/loʊˈkeɪ.ʃən/	1. vị trí, địa điểm 2. quá trình xác định vị trí	site, place	displacement, misplacement	locate (v): định vị located (adj): nằm ở relocation (n): sự di chuyển địa điểm locator (n): thiết bị định vị	The conference will be held at a central location.	convenient location, remote location, office location, location search
contact	noun	/ˈkɒn.tækt/	1. sự liên lạc 2. người liên hệ 3. sự tiếp xúc	communication, connection	disconnection, separation	contact (v): liên lạc contactable (adj): có thể liên lạc contactless (adj): không tiếp xúc	Please send your order to the contact listed below.	contact information, contact person, make contact, keep in contact
